,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,dmis-lab/biobert-v1.1,1,BCE,1,True,True,0.8484848484848485,1.0,0.7368421052631579,0.7368421052631579,0.9961532002559426,0.0,0.9993800668405006,0.0,0.0,35.0,0.0,98.0
1,dmis-lab/biobert-v1.1,2,BCE,1,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,0.9823651530515465,0.0,0.9970778224969538,0.0,0.0,34.0,0.0,98.0
2,dmis-lab/biobert-v1.1,3,BCE,1,True,True,0.8660714285714286,1.0,0.7637795275590551,0.7727272727272727,0.999306106264869,0.3303200888227433,0.9998906069309654,0.19675456389452328,5.0,30.0,0.0,97.0
3,google-bert/bert-base-uncased,1,BCE,1,True,True,0.8484848484848485,1.0,0.7368421052631579,0.7368421052631579,0.9884497249128819,0.0,0.9980935571448064,0.0,0.0,35.0,0.0,98.0
4,google-bert/bert-base-uncased,2,BCE,1,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,1.0,0.0,1.0000000000000004,0.0,0.0,34.0,0.0,98.0
5,google-bert/bert-base-uncased,3,BCE,1,True,True,0.8471615720524017,1.0,0.7348484848484849,0.7348484848484849,0.9771150631205622,0.0,0.9961203535715102,0.0,0.0,35.0,0.0,97.0
6,Ensemble,1,BCE,0,True,True,0.8484848484848485,1.0,0.7368421052631579,0.7368421052631579,0.9978721715959111,0.0,0.9996628382334811,0.0,0.0,35.0,0.0,98.0
7,Ensemble,2,BCE,0,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,0.9998969284683572,0.0,0.9999840486799633,0.0,0.0,34.0,0.0,98.0
8,Ensemble,3,BCE,0,True,True,0.8471615720524017,1.0,0.7348484848484849,0.7348484848484849,0.9996854505303862,0.0,0.9999510836799266,0.0,0.0,35.0,0.0,97.0
9,dmis-lab/biobert-v1.1,1,BCE,2,True,True,0.9239130434782609,0.8673469387755102,0.9883720930232558,0.8947368421052632,0.991370152544838,0.7726710617928554,0.9986096910575133,0.7555147058823529,34.0,1.0,13.0,85.0
10,dmis-lab/biobert-v1.1,2,BCE,2,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,0.9897948347790679,0.0,0.9983307387169857,0.0,0.0,34.0,0.0,98.0
11,dmis-lab/biobert-v1.1,3,BCE,2,True,True,0.9368421052631579,0.9175257731958762,0.956989247311828,0.9090909090909091,0.9876106287585732,0.7771260565801593,0.9978809061875189,0.7749360613810742,31.0,4.0,8.0,89.0
12,google-bert/bert-base-uncased,1,BCE,2,True,True,0.8484848484848485,1.0,0.7368421052631579,0.7368421052631579,0.9885113115326145,0.0,0.998121712540453,0.0,0.0,35.0,0.0,98.0
13,google-bert/bert-base-uncased,2,BCE,2,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,0.8845563405007546,0.0,0.9767911063178923,0.0,0.0,34.0,0.0,98.0
14,google-bert/bert-base-uncased,3,BCE,2,True,True,0.0,0.0,0.0,0.26515151515151514,0.8838846633202448,0.0,0.9447709691642994,0.0,35.0,0.0,97.0,0.0
15,Ensemble,1,BCE,1,True,True,0.9023255813953488,0.9897959183673469,0.8290598290598291,0.8421052631578947,0.9947371833203409,0.5663069856125756,0.9991544425346289,0.5067985166872683,15.0,20.0,1.0,97.0
16,Ensemble,2,BCE,1,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,0.9888369842942979,0.0,0.9981809769694642,0.0,0.0,34.0,0.0,98.0
17,Ensemble,3,BCE,1,True,True,0.9180327868852459,0.865979381443299,0.9767441860465116,0.8863636363636364,0.9876424859978481,0.7492944264066955,0.9979172262488742,0.7350107066381156,33.0,2.0,13.0,84.0
18,dmis-lab/biobert-v1.1,1,focal,1,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,35.0,0.0,0.0,98.0
19,dmis-lab/biobert-v1.1,2,focal,1,True,True,0.8558951965065502,1.0,0.7480916030534351,0.75,0.9991417127598704,0.14833305163534516,0.999864170469979,0.04305799648506148,1.0,33.0,0.0,98.0
20,dmis-lab/biobert-v1.1,3,focal,1,True,True,0.8471615720524017,1.0,0.7348484848484849,0.7348484848484849,0.9987041708589119,0.0,0.9997954576395468,0.0,0.0,35.0,0.0,97.0
21,google-bert/bert-base-uncased,1,focal,1,True,True,0.9949238578680203,1.0,0.98989898989899,0.9924812030075187,1.0,0.9806202943118002,1.0000000000000004,0.98043254376931,34.0,1.0,0.0,98.0
